Price,Close,High,Low,Open,Volume
2002-08-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-15,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-22,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-26,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-29,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-08-30,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-02,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-05,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-06,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-26,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-09-30,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-01,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-02,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-07,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-08,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-15,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-22,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-29,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-30,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-10-31,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-01,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-05,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-06,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-07,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-08,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-15,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-22,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-26,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-11-29,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-02,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-05,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-06,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-26,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-30,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2002-12-31,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-01,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-02,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-06,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-07,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-08,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-15,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-22,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-29,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-30,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-01-31,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-05,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-06,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-07,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-26,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-02-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-05,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-06,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-07,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-26,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-03-31,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-01,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-02,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-07,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-08,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-15,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-22,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-29,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-04-30,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-01,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-02,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-05,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-06,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-07,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-08,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-15,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-22,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-26,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-29,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-05-30,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-02,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-05,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-06,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-26,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-06-30,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-01,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-02,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-07,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-08,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-15,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-22,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-29,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-30,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-07-31,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-01,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-05,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-06,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-07,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-08,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-13,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-14,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-15,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-20,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-21,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-22,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-26,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-27,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-28,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-08-29,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-01,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-02,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-03,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-04,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-05,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-08,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-09,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-10,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-11,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-12,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-15,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-16,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-17,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-18,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-19,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-22,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-23,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-24,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
2003-09-25,3.596923828125,3.596923828125,3.596923828125,3.596923828125,0
